NPLV,"CO__fft_coefficient__attr_""imag""__coeff_1","T__fft_coefficient__attr_""imag""__coeff_1","T фурмы 2__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2","CO2__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.0","T__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""min""","CO2__fft_coefficient__attr_""abs""__coeff_25",AR__energy_ratio_by_chunks__num_segments_10__segment_focus_7,"T фурмы 2__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4",N2__quantile__q_0.9,CO2__sum_values,CO__energy_ratio_by_chunks__num_segments_10__segment_focus_6,CO2__energy_ratio_by_chunks__num_segments_10__segment_focus_9,T__index_mass_quantile__q_0.6,"CO2__fft_coefficient__attr_""abs""__coeff_57","O2__fft_coefficient__attr_""abs""__coeff_68","CO__fft_coefficient__attr_""imag""__coeff_2",CO2__index_mass_quantile__q_0.8,"T фурмы 2__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6","N2__fft_coefficient__attr_""abs""__coeff_65","CO2__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.0","T фурмы 2__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.6","CO2__fft_coefficient__attr_""abs""__coeff_16",T__absolute_sum_of_changes,"T__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""mean""","O2__fft_coefficient__attr_""abs""__coeff_52",N2__quantile__q_0.7,"T__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""max""",CO2__index_mass_quantile__q_0.9,"V__fft_coefficient__attr_""abs""__coeff_13",CO__index_mass_quantile__q_0.6,T__last_location_of_maximum,AR__sum_of_reoccurring_values,CO__energy_ratio_by_chunks__num_segments_10__segment_focus_8,AR__quantile__q_0.9,"CO2__fft_coefficient__attr_""abs""__coeff_27","CO2__fft_coefficient__attr_""real""__coeff_2","CO2__fft_coefficient__attr_""imag""__coeff_2",AR__autocorrelation__lag_2,"N2__fft_aggregated__aggtype_""variance""","T фурмы 2__fft_coefficient__attr_""abs""__coeff_13",AR__autocorrelation__lag_7,"T фурмы 2__fft_coefficient__attr_""imag""__coeff_2","O2_pressure__fft_coefficient__attr_""real""__coeff_8","AR__augmented_dickey_fuller__attr_""teststat""__autolag_""AIC""","N2__fft_coefficient__attr_""abs""__coeff_66",O2__count_below_mean,AR__autocorrelation__lag_8,AR__cid_ce__normalize_True,"T фурмы 2__fft_coefficient__attr_""abs""__coeff_9","N2__fft_coefficient__attr_""abs""__coeff_16"
510008,-8605.983137534033,-35146.443133462584,0.0,0.0329448815190299,0.0811861982001033,411.3699575951254,0.1414895161413895,0.0,78.13999938964844,34936.0833119013,0.0701561137117125,0.0509243376840313,0.550390625,282.4533008704455,199.16717073057185,8076.023524490256,0.75546875,0.0,386.0117682153544,0.0315127674660161,0.0,298.24393862934,2072.5694732666016,0.230205218205075,606.2989658519463,78.13999938964844,0.2305175106453573,0.876953125,1088953.7843511696,0.486328125,0.6515625,43.1599999666214,5.400874892740831e-05,0.9800000190734864,154.10854810355062,721.7673598057504,2509.6331093099534,0.9947166584185596,32503.751532418846,0.0,0.9715156640060714,0.0,22.36446966544421,-1.799045691397006,110.09109969440728,1154.0,0.9661715061201088,3.273249434159616,0.0,916.630279521458
510009,12615.968081969935,335435.057618028,0.0,0.0217496793170975,0.0446909477171922,492.52637324743824,0.1341517056029766,0.0,77.19000244140625,46447.0338961368,0.2693814292085849,0.1168956065722305,0.6095213978222335,233.3513295900831,535.5082468846435,-15569.025201891418,0.8480628007090403,0.0,311.42335671357324,0.0163598276194902,0.0,1099.1003370062992,2177.430191040039,0.1268491196170899,835.746951235644,77.19000244140625,0.1274977659927788,0.92403140035452,517872.882698238,0.5753355279817676,0.6948594580906559,40.709999948740005,0.0002096122269813,0.9900000095367432,861.5000832483637,5777.29783516785,1464.518369042532,0.9950886435064232,82312.94739320151,0.0,0.9751100068113712,0.0,78.2712657124008,-2.0830974249252425,187.90974863184616,2419.0,0.9704983571882486,4.406261350480637,0.0,3953.110610447397
510010,-3882.5632991753496,-19960.45051453063,0.0,0.0262499243451192,0.0756291988083725,575.2311655488971,0.1425937709162236,0.0,79.63999938964844,36527.96057469697,0.1728805327571853,0.043646053399353,0.5545106234761407,282.2348666108723,114.25526387467129,2730.931320654234,0.7450365726227796,0.0,801.5830592486485,0.0322303791557693,0.0,1206.9783332672496,2200.3473892211914,0.2139403847586799,304.7350712616804,79.63999938964844,0.2143782015030805,0.8725182863113897,1091175.3460549056,0.5106234761407176,0.6739811912225706,39.4499998986721,7.282222252743254e-05,1.0099999904632568,269.22002172676065,2745.330142518901,4398.249905111175,0.996703600323438,38920.73822624025,0.0,0.984350459060126,0.0,12.296795047575031,-1.4087905632542916,486.7116480868537,2144.0,0.9814673157000606,2.9416115582213505,0.0,2574.8514433803307
510011,-24283.951881126188,-299640.0912022161,0.0,0.0454832495412595,0.0521706145954837,1003.270171598029,0.1441659237602022,0.0,75.91999816894531,44239.9061446295,0.0015126960656385,0.0443551334918006,0.4786875191659,445.5640412906021,245.26559320148837,16562.235133947797,0.7396504139834407,0.0,691.3688165084757,0.0547588791997183,0.0,2632.482727082798,2957.291557312012,0.1476830472166999,376.5049510844773,75.91999816894531,0.1483743153155624,0.8699785341919657,2675320.433194299,0.4017172646427476,0.2532965348052745,44.37999987602234,3.094118670683518e-05,1.0299999713897705,1381.3620686082645,548.1061961996105,5311.577201097944,0.9959425924046292,57590.78289930849,0.0,0.9776256317351746,0.0,-140.5621308426229,-2.107981462582331,728.8847927656411,1412.0,0.9734048366374104,3.709498257532255,0.0,5199.373266029253
510012,-4995.763722612,13747.313485222028,0.0,0.0600360358777167,0.0715049910203891,517.4980754741343,0.1241927480216858,0.0,79.68013163081935,39021.23125254315,0.1412321312850514,0.0952848930289993,0.5632867132867133,31.63051531853475,390.5047802450355,4216.9549136480655,0.8269230769230769,0.0,329.86565099789186,0.0741549328328017,0.0,1578.8226270385326,2219.4443359375,0.2028093192627751,275.8944419240447,75.19999694824219,0.2033402589443319,0.9136363636363636,1424784.3028093225,0.5073426573426574,0.3199300699300699,44.834999948740005,2.1370013860245773e-05,0.9800000190734864,127.2117067763343,4733.3493193650265,7349.046090074841,0.9946528198123036,42187.39121226267,0.0,0.9662172438975394,0.0,10.232734398799542,-2.4205283842941774,149.8793251746908,1933.0,0.959467824428502,3.605736114255956,0.0,1975.508841789524
510013,2394.47361549249,178911.37276595956,0.0,0.0264246878249862,0.0723713717892681,368.7798959048068,0.1243861279048838,0.0,79.14480270029368,30616.95885387294,0.1863763005800049,0.0274443458239777,0.6026443980514962,106.58398613982686,207.7328087977897,-2602.8072272771265,0.697633959638135,0.0,215.9153579881289,0.0160874514653072,0.0,248.0405811139623,1958.6801300048828,0.2050456303211663,323.1643778551056,77.45999908447266,0.2059034409906766,0.8510786360473208,1520675.515213247,0.5403618649965205,0.6969380654140571,52.22499978542328,3.263933537601197e-05,1.0499999523162842,50.1348510313949,5477.910579599599,1814.0895920921048,0.99446141919649,46668.28486223219,0.0,0.9698327932086104,0.0,48.90583316347696,-2.0711885546982383,301.4498525663741,1308.0,0.9640721155829934,3.7548127916863567,0.0,3020.587375578633
510014,52005.514723581655,403754.6472419677,0.0,0.0153991597122838,0.0509468063430808,448.2185826804016,0.0466360663841118,0.0,76.1389370959738,41302.3130192385,0.1883770839074639,0.1486859750613306,0.6436046511627908,142.34438528869944,92.52370572658457,4210.907567268036,0.8703488372093023,0.0,407.8198458617837,0.0068554107292502,0.0,682.0966793028178,2034.43700874179,0.1446057232630636,610.8152353751694,73.55000305175781,0.1453025585449351,0.9351744186046512,1753959.4342325025,0.7892441860465116,0.486046511627907,37.3249998986721,0.198734823211054,0.9100000262260436,210.4722961550647,6927.315882070701,2135.0417584063243,0.9962937314168429,99529.98251909326,0.0,0.980286895999964,0.0,81.19266253226267,-2.132741427782354,491.8614931242822,2024.0,0.9766441005019658,3.1339631948374698,0.0,2369.8880847308938
510015,9.632378298438002e-15,-227948.8211386656,0.0,0.0,0.0546923952777855,2.931999755219629e-13,0.0998814463544753,0.0,31.1299991607666,62452.74077224733,0.0998814463544754,0.0998814463544753,0.501185536455246,4.530725077374773e-14,0.0,3.8523433918861134e-14,0.8002371072910492,0.0,9.244903777078665e-13,0.0,0.0,3.950399010471125e-13,2010.7639923095703,0.1547456860894708,0.0,31.1299991607666,0.1552327899329583,0.9001185536455246,1396451.9682578072,0.6001778304682869,0.5666864256075874,0.4900000095367431,0.0998814463544754,0.4900000095367431,2.923353641703895e-13,-5.966137559912035e-13,1.444628771957292e-14,0.9979010617008496,4.824137691621118e-10,0.0,0.9900460887298296,0.0,21.709365490894765,-1.3414266385895968,1.754106086933951e-13,0.0,0.9883456390302896,0.0,0.0,1.1851197031413373e-12
510016,-28992.879809449747,2305.0203731715283,0.0,0.0325240418314933,0.0741060740027962,359.0000369506944,0.1548844232158028,0.0,62.61000061035156,56296.86282280217,0.0316900779897786,0.1306747603465244,0.5571732954545454,154.9363125108818,137.21448326573804,-6385.223541552121,0.828125,0.0,364.8356323710092,0.0626324437576042,0.0,839.0212964783844,2135.069351196289,0.2103399857573209,179.33839606492245,62.61000061035156,0.2111646008160737,0.9140625,1521608.472937637,0.4161931818181818,0.3313210227272727,32.66999998688698,0.011898840282481,0.7900000214576721,212.38890693498524,-2286.8621773402947,876.9126760299653,0.996311016739592,59049.0799971118,0.0,0.9856191106918089,0.0,-10.92171146738024,-1.6432881049761152,169.46711666331652,2702.0,0.9836315734851312,3.2655600198797683,0.0,957.7348988896111
510017,-19473.849033061106,-478151.33575010265,0.0,0.062706751779648,0.0353660608448229,1149.4311686650135,0.1018078010233154,0.0,74.48459975975604,72492.46383118321,0.0125658358493484,0.1006611973868778,0.4234825404265291,203.46744013477968,1669.169156509138,24475.0515969924,0.8225919850011718,0.0,153.7954946747225,0.048333368197786,0.0,2957.318464926559,3248.2636489868164,0.1004013187930193,510.85065055464736,64.16000366210938,0.1009865988000365,0.9114131708460276,5515147.538121867,0.4417623623154441,0.4162174830091399,38.204999923706055,0.0401751972903154,0.8999999761581421,2357.0290355042107,1299.2761470115138,9888.943239412243,0.9880135229968948,117025.06833234755,0.0,0.9373834350749722,0.0,-1.2711862794851745,-3.5985992345644795,539.4887410253776,3292.0,0.9257202728951625,6.98416560159069,0.0,4972.7015383725175
