NPLV,AR__autocorrelation__lag_4,"AR__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0","AR__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""mean""",AR__energy_ratio_by_chunks__num_segments_10__segment_focus_7,"CO__change_quantiles__f_agg_""mean""__isabs_True__qh_0.2__ql_0.0",H2__last_location_of_minimum,"O2__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0","O2_pressure__fft_coefficient__attr_""abs""__coeff_7","O2_pressure__fft_coefficient__attr_""abs""__coeff_8",O2_pressure__percentage_of_reoccurring_values_to_all_values,CO2__energy_ratio_by_chunks__num_segments_10__segment_focus_8,"O2__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.6","CO2__linear_trend__attr_""pvalue""",T фурмы 2__autocorrelation__lag_6,"V__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""max""","T фурмы 2__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.8",CO2__sum_values,N2__abs_energy,T__index_mass_quantile__q_0.6,"CO2__fft_coefficient__attr_""abs""__coeff_57","V__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""max""",AR__autocorrelation__lag_1,"CO2__fft_coefficient__attr_""abs""__coeff_0","AR__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""min""",T__ratio_beyond_r_sigma__r_0.5,"O2__fft_coefficient__attr_""abs""__coeff_53",O2__benford_correlation,"CO2__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2","CO2__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""var""",AR__sum_of_reoccurring_values,O2__ratio_beyond_r_sigma__r_2,"N2__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.8",O2__quantile__q_0.7,CO2__skewness,"H2__cwt_coefficients__coeff_8__w_5__widths_(2, 5, 10, 20)","O2_pressure__fft_coefficient__attr_""abs""__coeff_9","O2__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0","O2__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.0","T__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""mean""",AR__autocorrelation__lag_2,CO__quantile__q_0.2,"CO2__fft_coefficient__attr_""abs""__coeff_18","CO2__fft_coefficient__attr_""real""__coeff_1","CO2__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4","CO2__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.4","T__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""mean""","AR__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""min""",O2__count_below_mean,T фурмы 2__autocorrelation__lag_5,CO__last_location_of_minimum
510008,0.9863875635363114,0.0035403185545118,5.336195126338984e-05,0.1414895161413895,0.0127000583662547,0.972265625,0.0200106722313668,31.17185112300578,80.22134279132659,0.6903765690376569,0.0523373145425175,0.1144081924015484,6.407840540332414e-32,0.9996127685389412,1.7970663498004609,0.0,34936.0833119013,10524330.30154824,0.550390625,282.4533008704455,2.128862462269684,0.9980915097750556,34936.0833119013,5.460582776228686e-05,0.921875,309.2912763524568,0.1197802488290008,0.0571242434622849,-0.0822003520563519,43.1599999666214,0.01484375,0.4003410167939151,9.0600004196167,-0.0707339424356012,0.089058490082147,19.378286543915035,0.0291304752371442,0.0287736899823739,-0.2298557742919569,0.9947166584185596,0.3100000023841858,747.4535014320178,-9460.00990422658,0.0545833615734445,0.0503957351386323,-0.4597107020121532,0.0001567607082077,1154.0,0.9997956969114836,0.2410156249999999
510009,0.9878783328428254,0.0023065819604352,2.583921773321873e-05,0.1341517056029766,0.0029349996726677,0.9941757406938464,0.0077618241712853,143.88783535313848,184.88533946155388,0.6202143950995406,0.1175757830061488,0.0936087911412653,0.0,0.9996127685389412,-3.341789986026135,0.0,46447.0338961368,17690929.16061446,0.6095213978222335,233.3513295900831,-6.58219985691101,0.9976671428987745,46447.03389613678,2.645474549381425e-05,0.9202329703722462,669.0779861299458,0.2237559010552108,0.0205731707944196,-0.0132744974637547,40.709999948740005,0.0,0.4042790315822042,24.27600059509277,-0.029090952888376,0.0822539278053557,133.56644374342474,0.0068614229946067,0.0068072593023871,0.2220268649928232,0.9950886435064232,0.2300000041723251,1058.7116891405076,-9393.020392703038,0.0212221264542709,0.0205474297836726,0.4440555156376473,7.626503622403456e-05,2419.0,0.9997956969114836,0.3945302608255254
510010,0.9923894984502863,0.0031745132091599,3.926637277755183e-05,0.1425937709162236,0.0038177395116406,0.2744688261929641,0.0162792878387794,41.50099911272208,31.86811677554744,0.4037558685446009,0.0436594637078615,0.128416048121177,3.9244989035963705e-34,0.9996127685389412,-8.430122221459504,0.0,36527.96057469697,12318839.06944933,0.5545106234761407,282.2348666108723,-18.09603788049474,0.9986090522659282,36527.96057469697,4.0143777311768105e-05,0.9324277255311738,127.8385174747631,0.1413331246097043,0.0786937727740101,-0.114006428323109,39.4499998986721,0.018808777429467,0.2287269554055303,8.699999809265137,0.1280164687534831,0.0794179728965514,64.518397988216,0.0191488596732559,0.0188984659453151,-0.0958731501711221,0.996703600323438,0.2744857821474973,639.016246271084,-12458.165779080971,0.0525225458620165,0.0498545038716209,-0.2038168911996576,0.000115455000693,2144.0,0.9997956969114836,0.2633228840125392
510011,0.989434364771204,0.002929599239038,3.354278841989899e-05,0.1441659237602022,0.0066872198665055,1.0,0.0264104629446018,292.6263939920565,140.56830968529968,0.5339449541284403,0.0443551334918006,0.0556248530349309,0.0004620674213962,0.9996127685389412,-1.602698704742243,0.0,44239.9061446295,13773331.814861448,0.4786875191659,445.5640412906021,-4.286015826949313,0.9980353630384688,44239.906144629495,3.413005519054338e-05,0.8779515486047225,679.7795311539929,0.952902575310554,0.0727501180630988,-0.1031504265651899,44.37999987602234,0.0006133088009812,0.5890859438208795,12.239999771118164,0.1197513027903417,0.0408141757572161,55.67417908537603,0.0404221968918861,0.0397740815137395,-0.4807057660877289,0.9959425924046292,0.4000000059604645,2538.584517742394,-12234.609319413756,0.0531055153276848,0.0498173038037796,-0.966147907812472,9.804265049289174e-05,1412.0,0.9997956969114836,0.5780435449248696
510012,0.9846769837314064,0.0036540265192918,4.5191574697385575e-05,0.1241927480216858,0.0052208116763837,1.0,0.0221967036686043,98.50567880028169,208.74809627650103,0.5679824561403509,0.0952848930289993,0.1912336371913073,5.150753680707479e-100,0.9996127685389412,1.0227892047710752,0.0,39021.23125254315,12071770.676765203,0.5632867132867133,31.63051531853475,2.2193906903430336,0.9976383045926416,39021.23125254315,4.611209393878569e-05,0.8793706293706294,777.0494843582594,0.4637176481380117,0.0980233805647389,-0.0942713509769338,44.834999948740005,0.0,0.9293228970286848,11.676426694171676,-0.3966746988376243,-1.5049769913107416e-05,56.813192734744135,0.0333958791958498,0.0329235551121597,0.0009528041193321,0.9946528198123036,0.209999993443489,1499.5159332335747,-10152.272787393566,0.0277857074519707,0.0252229235803977,0.0019092840551162,0.0001333138162271,1933.0,0.9997956969114836,0.7524475524475525
510013,0.9858205986962454,0.003817673854548,5.003491538929729e-05,0.1243861279048838,0.0103755084787445,1.0,0.0499661616737681,149.2055086610829,128.13608428251982,0.2673434856175973,0.0274443458239777,0.0377507865662439,4.136292396313347e-28,0.9996127685389412,-10.565780159177274,0.0,30616.95885387294,12203081.218888782,0.6026443980514962,106.58398613982686,-20.52401761569944,0.9975333555338712,30616.958853872937,5.130157600627596e-05,0.8747390396659708,767.4715593519188,0.9278959279882072,0.0309397325469595,0.0262671405766544,52.22499978542328,0.0,0.7080241195203206,14.242188364604727,0.3361088027360833,-0.0038004022411927,125.3536588708278,0.1122039240296206,0.1098379642614481,0.3734440509589244,0.99446141919649,0.2199999988079071,587.9650388289012,-12698.76817912597,0.0267399460263759,0.0230901568061097,0.7323282470233462,0.0001478995438924,1308.0,0.9997956969114836,0.7581767571329158
510014,0.990487215920599,0.0021991322080491,1.955349642367298e-05,0.0466360663841118,0.0017122315911708,0.4133720930232558,0.021441947710648,61.01659101375104,119.79963192019018,0.3157894736842105,0.1486859750613306,0.0445297666794565,0.0,0.9996127685389412,-10.92499325020694,0.0,41302.3130192385,10695969.851822104,0.6436046511627908,142.34438528869944,-21.49519034497917,0.9982831565149012,41302.3130192385,2.015591668559933e-05,0.8267441860465117,350.54517207502187,0.5327608668936998,0.0066658107470531,-0.0076402710494637,37.3249998986721,0.0,0.3750768794619188,24.190000534057617,-0.1833504651293348,0.0,149.41784642975202,0.0421970502581021,0.0417521026618915,0.5034343628734651,0.9962937314168429,0.1299999952316284,1127.8576896382665,-6069.857645202519,0.0098454388681188,0.0097509515226339,1.0068746972304552,5.837318355453857e-05,2024.0,0.9997956969114836,0.4058139534883721
510015,0.9949949211405248,0.0,4.217389967308932e-22,0.0998814463544753,0.0,1.0,0.0,120.51595475307198,78.92478807413158,0.2378223495702005,0.0998814463544753,0.0,1.0,0.9996127685389412,2.823574487345339,0.0,62452.74077224733,3269665.2843061504,0.501185536455246,4.530725077374773e-14,5.113202023221602,0.999030371572926,62452.74077224733,1.09814586048662e-20,0.8912270302311797,0.0,0.8713342667495231,0.0,0.0,0.4900000095367431,0.0,0.0,0.0,0.0,0.1208788787013304,46.0336640786032,0.0,0.0,-0.2646463609588069,0.9979010617008496,49.7400016784668,7.885624236256999e-13,-4.973294640047577e-12,0.0,0.0,-0.5345337399040918,3.103747758626566e-20,0.0,0.9997956969114836,1.0
510016,0.9919591067695356,0.0008150037670679,2.0650851739537204e-05,0.1548844232158028,0.0290271688193414,0.6786221590909092,0.0,9.823751396583408,78.1448029720804,0.2469135802469135,0.1306747603465244,0.1126181005281292,1.1624116483976483e-236,0.9996127685389412,-0.2791712655342157,0.0,56296.86282280217,6206182.905541493,0.5571732954545454,154.9363125108818,-1.2313670258918823,0.9980881837303908,56296.86282280217,2.0513090582686888e-05,0.9215198863636364,179.96676091382628,0.9025449923839372,0.0061424648358348,0.0043849971629974,32.66999998688698,0.0269886363636363,0.0908726956796014,0.0,-1.8017948219043585,0.1208788787013304,12.868045902472414,0.0,0.0,-0.0706856129982774,0.996311016739592,13.350000381469728,730.9988319141178,2424.5841046843234,0.0061424648358348,0.0060750780607422,-0.1413736044579254,5.756677137893561e-05,2702.0,0.9997956969114836,0.51953125
510017,0.9698256907687496,0.0025545131836256,1.8535776212084714e-05,0.1018078010233154,0.0222433131186918,0.7068197797047105,0.004643325491965,153.84518154597686,112.7741806789763,0.2854914196567862,0.1006611973868778,0.4636935558506414,1.9645842695110352e-168,0.9996127685389412,7.074418007035683,0.0,72492.46383118321,16865203.44670485,0.4234825404265291,203.46744013477968,13.93441506920333,0.9944963826879282,72492.46383118321,1.914339712673989e-05,0.7740801499882821,680.0765381375097,0.9533839225173272,0.0522762830818678,-0.0142128514072943,38.204999923706055,0.1239746894773845,1.2461669967224611,1.9700000286102293,-0.9004342664847033,0.0259026161753224,78.14119502664893,0.0016291282000093,0.0016079719543295,-0.3527219959494886,0.9880135229968948,1.5579416529571584,1260.9859374820164,-11501.93371799658,0.0139920102090587,0.0128150228932649,-0.7054499561204128,5.533997972452462e-05,3292.0,0.9997956969114836,0.6997890789782049
