NPLV,продувка_res2_V,продувка_res2_T,продувка_res2_O2,продувка_res2_N2,продувка_res2_H2,продувка_res2_CO2,продувка_res2_CO,продувка_res2_AR,продувка_res2_T фурмы 1,продувка_res2_T фурмы 2,продувка_res2_O2_pressure,продувка_res2_delta
510008,219321.34375,131.94444274902344,9.966543433927994,78.3839219930799,0.0106666668256123,10.125830899714009,0.5471810215851983,0.9735015024947836,0.0,0.0,13.38975715637207,-1965.4370000000001
510009,218792.984375,114.23611450195312,6.053719822113571,77.35070253201073,0.0068271332287944,14.66704551813639,0.9285339349208306,0.9836980399208988,0.0,0.0,13.628472328186035,-2432.4370000000004
510010,216986.9375,127.43054962158205,8.751749813556671,79.67274942398072,0.0204999995417892,9.889875262975693,0.6478749763220548,1.0072499908506871,0.0,0.0,13.823784828186035,-2144.4370000000004
510011,221631.140625,112.84722137451172,12.239999771118164,75.91999816894531,0.0,10.420000076293944,0.4000000059604645,1.0299999713897705,0.0,0.0,14.62673568725586,-2687.4370000000004
510012,219532.34375,133.3333282470703,7.71999979019165,75.19999694824219,0.0,15.760000228881836,0.3400000035762787,0.9800000190734864,0.0,0.0,15.567130088806152,-2154.4370000000004
510013,224536.5625,128.81944274902344,13.890000343322754,77.45999908447266,0.0,7.150000095367432,0.449999988079071,1.0499999523162842,0.0,0.0,15.118635177612305,-2034.4370000000001
510014,226282.359375,130.20834350585938,0.0,31.1299991607666,0.1400000005960464,18.51000022888184,49.7400016784668,0.4900000095367431,0.0,0.0,15.335647583007812,-2075.4370000000004
510015,221212.984375,108.33332824707033,0.0,31.1299991607666,0.1400000005960464,18.51000022888184,49.7400016784668,0.4900000095367431,0.0,0.0,15.458622932434082,-2691.4370000000004
510016,222152.75,125.0,0.0,62.61000061035156,0.0299999993294477,23.21999931335449,13.350000381469728,0.7900000214576721,0.0,0.0,15.60329818725586,-2098.4370000000004
510017,224227.078125,109.02777862548828,1.9700000286102293,64.16000366210938,0.050000000745058,19.13999938964844,13.890000343322754,0.7699999809265137,0.0,0.0,15.458622932434082,-3538.4370000000004
510018,222256.953125,111.45833587646484,4.5,75.16999816894531,0.0,18.65999984741211,0.7200000286102295,0.9399999976158142,0.0,0.0,15.596064567565918,-2410.4370000000004
510019,229633.359375,132.29165649414062,0.0,73.02999877929688,0.0199999995529651,24.1200008392334,1.940000057220459,0.8999999761581421,0.0,0.0,15.487557411193848,-2158.4370000000004
510020,222673.15625,152.37781263906743,11.5,77.3499984741211,0.0,9.800000190734863,0.4199999868869781,0.9399999976158142,0.0,0.0,15.545427322387695,-2071.4370000000004
510021,225565.140625,116.66667175292967,0.0,58.43999862670898,0.1099999994039535,27.11000061035156,13.56999969482422,0.7699999809265137,0.0,0.0,15.552661895751951,-2242.4370000000004
510022,221944.265625,123.94280181982266,17.548421491656388,80.66800032395582,0.0006153846016296,0.697543838567901,0.0885964947376857,0.9984210530916848,0.0,0.0,15.740739822387695,-2418.4370000000004
510023,224639.625,133.3333282470703,13.380000114440918,77.70999908447266,0.0,7.329999923706055,0.5299999713897705,1.059999942779541,0.0,0.0,15.473090171813965,-1986.4370000000001
510024,221108.3125,122.38547715670916,14.210000038146973,80.1500015258789,0.0,4.440000057220459,0.1800000071525573,1.0199999809265137,0.0,0.0,15.625,-1975.4370000000001
510026,226180.03125,131.94444274902344,13.479999542236328,76.73999786376953,0.0,8.220000267028809,0.5,1.059999942779541,0.0,0.0,15.154802322387695,-1954.4370000000001
510027,222256.953125,132.29165649414062,15.17729475143108,78.7228754511966,0.0,4.668510564554788,0.3866261455788076,1.0349847650817825,0.0,0.0,15.625,-1922.4370000000001
510028,229935.578125,95.83333587646484,6.75,73.7300033569336,0.0099999997764825,13.479999542236328,5.119999885559082,0.9100000262260436,0.0,0.0,15.639467239379885,-2691.4370000000004
510030,224536.5625,124.65277862548828,6.5,72.54000091552734,0.0199999995529651,18.5,1.440000057220459,1.0,0.0,0.0,15.487557411193848,-2305.4370000000004
510031,226793.265625,111.45833587646484,15.5600004196167,79.23999786376953,0.0,3.7200000286102295,0.4199999868869781,1.0499999523162842,0.0,0.0,15.632234573364258,-2371.4370000000004
