NPLV,TST,C
512324,1676.5435092528564,0.03636933261445365
512327,1647.261574014153,0.04949200532965031
512328,1659.8083446438511,0.06153285075309311
512331,1650.9387193795724,0.055119709960692126
512333,1651.3961069769066,0.07037432341838537
512339,1651.8271394560122,0.050527546191258786
512344,1661.7609760125113,0.04333968934391289
512348,1649.1850238519987,0.04353523142899356
512349,1634.1423095009745,0.03904724245372214
512350,1653.2951290936105,0.05614313466699266
512352,1659.3679262602263,0.05960929040615699
512354,1668.6381245330563,0.04419349086633895
512355,1649.2881798277517,0.04708228959087796
512356,1655.9252626257964,0.04322580802266936
512358,1658.044848650507,0.0406818392239071
512361,1671.0125293581377,0.05210020767558102
512362,1672.0505725188175,0.051257463837973125
512363,1665.3189189639447,0.05757864912645998
512366,1646.9210590527737,0.0399567504618233
512367,1652.3841403211964,0.04195357145111398
512368,1649.8384123041985,0.035889284735275265
512369,1638.0701020398826,0.04084901785019574
512370,1655.7499068683696,0.050832598809175816
512371,1644.7905565073256,0.03937655310170185
512372,1648.1967381700692,0.03671112627986857
512373,1642.6044305811831,0.038903021416966645
512374,1651.7484471617167,0.046653230392957885
512375,1665.5378520071397,0.040792745556427604
512376,1651.9812171539015,0.038572297078347965
512377,1653.8344714404723,0.052778880246993606
512379,1650.4579248222994,0.04399466450872722
512380,1662.6987467614242,0.049417023732094535
512381,1636.9742951267576,0.05446343740395167
512382,1650.1462650031817,0.03971691322733819
512383,1647.3206682969765,0.03531945900963537
512384,1661.04710976176,0.04866805435586203
512385,1660.62897391461,0.0348297214923384
512386,1655.7170843238123,0.03946404916467857
512387,1655.74200805627,0.11349607109239457
512390,1655.5795792544366,0.03812308358197203
512391,1652.9028306620748,0.05404905674625507
512392,1657.4208967615805,0.04240599205851333
512393,1648.847892386362,0.04626783657514794
512394,1649.3999913393661,0.03846523958509161
512395,1649.3266858912766,0.045541073680316506
512396,1647.2813030876432,0.035876151268977294
512397,1650.6270458878369,0.03768063918207386
512398,1636.46706259611,0.038021582091078296
512399,1653.9228191252778,0.04273169582616891
512402,1657.0045817478017,0.055454147249969415
512403,1644.961222844207,0.041749803232508445
512405,1647.82357486629,0.03588310794172673
512407,1654.6183564820258,0.053601623216592786
512408,1655.8432464342488,0.04485698950303051
512409,1658.9313147204205,0.058380586857845376
512410,1651.6676469903177,0.05283647361761523
512411,1652.0539141468719,0.048475361668402946
512412,1648.287255934083,0.038673948780982605
512413,1659.0425486515626,0.04094125919317686
512414,1653.381686805888,0.0638385858444731
512415,1665.86019113698,0.08714210766852142
512416,1649.9981323796753,0.04971604854159475
512417,1655.7868631721424,0.040571135130377606
512418,1648.2976895722718,0.03740220631548269
512419,1647.6002510765838,0.04512863987406139
512420,1652.2512870536689,0.04090360667053963
512421,1661.3227796552303,0.05197384537487246
512422,1639.1859113318737,0.04185385508948572
512423,1656.6956869418036,0.05598847261509486
512424,1647.147654547973,0.05960578359139639
512425,1658.8979087163875,0.04352842800588901
512426,1646.1323342449248,0.03742313905787623
512427,1647.4033567679285,0.035884882183132405
512428,1660.6471141310828,0.039500857676776566
512430,1649.638003782111,0.06558258434818796
512431,1648.7229328165886,0.047080842635127886
512432,1641.5196259435518,0.04118504280484193
512433,1649.1596541182012,0.03723843405839778
512434,1652.5261650597497,0.042320801393022536
512435,1636.654458255407,0.041270550839455016
512436,1646.3792170864947,0.059212503945316436
512437,1665.183590472945,0.032975439446642565
512438,1644.674309814971,0.03521312060661867
512440,1647.8765949141348,0.0546177145096359
512442,1656.5210916460367,0.04085629666552402
512443,1668.5143400167713,0.037497734526555894
512444,1646.9340033852764,0.05818878190708921
512448,1634.028693534964,0.04064555501895763
512449,1638.2531165568057,0.040354235706627516
512450,1647.8380523157525,0.03697286945511714
512451,1643.2050789745304,0.03569226067817087
512452,1642.470713713217,0.038515521041502736
512453,1634.4363176642005,0.03465815369582849
512454,1649.171493632454,0.03817691841769515
512455,1652.0645251773974,0.04222079311051723
512456,1651.358567043232,0.03960255934987991
512461,1653.26272850188,0.04247196437489565
512462,1650.0752670207262,0.03479326415960542
512464,1665.747100015446,0.0354469701118078
512469,1668.332154454359,0.07224310915301616
512471,1647.6542974448942,0.039115202338070115
512473,1668.2097876819632,0.052974364243073266
512474,1664.6961280734658,0.06700626731247604
512477,1648.1892891506473,0.03744859701526258
512481,1651.5807121020075,0.05721432808214302
512482,1651.02289032309,0.054636964689794926
512485,1656.3805125742988,0.05103794500567161
512489,1668.331592032881,0.05692191539824168
512490,1653.018019006286,0.04964185019224207
512491,1663.5236512156907,0.04406863590159218
512492,1656.3039486733217,0.03695437964751419
512494,1652.604907374058,0.05316647216641938
