NPLV,TST,C
512324,1669.9562189212436,0.03942373173782691
512327,1653.0117177439613,0.053987691350906246
512328,1661.9543015727008,0.05560834513420651
512331,1655.2441401486278,0.05671659925715206
512333,1661.8204347841404,0.06805625664447272
512339,1655.1858062868325,0.05018293367685625
512344,1659.4928001857086,0.04921953861838636
512348,1647.5975802760531,0.05147195699710842
512349,1643.8859768957802,0.03467850258232162
512350,1655.060931173397,0.05359481659917376
512352,1666.0307058085075,0.061207158735964884
512354,1659.4286868147517,0.045016815505823066
512355,1657.008261578925,0.04557399414983971
512356,1658.5429267137185,0.045070570279763834
512358,1660.5213300815783,0.04294814980960995
512361,1666.3712293256413,0.05914450717822964
512362,1669.2486687821558,0.048385803030968615
512363,1663.3107558982115,0.05438426346188202
512366,1654.9241466672445,0.042164337300064664
512367,1652.0266922610442,0.049444624767830306
512368,1658.950911538573,0.03888396675565041
512369,1642.6820657313244,0.04402427785482981
512370,1659.0758671677743,0.046208012490376905
512371,1644.529898938216,0.04028981750711746
512372,1650.6036939044811,0.0388664971421575
512373,1648.8933405405082,0.04089122110315345
512374,1657.6344192963068,0.04489381883354485
512375,1661.4219564785549,0.04506661218012863
512376,1652.3735807547878,0.04082319348449256
512377,1656.8048501544745,0.05170234467013432
512379,1656.169158584083,0.044316037856982515
512380,1660.1827390987653,0.04602928461295735
512381,1636.9217400061389,0.05481868541519987
512382,1654.343244411415,0.042109691395446555
512383,1653.1687060658412,0.03782620254380922
512384,1660.8059235764279,0.048731442153809756
512385,1664.72564387063,0.039696499314515306
512386,1660.027294809844,0.04202890294694023
512387,1653.597372506299,0.10482606282974755
512390,1659.6557441806565,0.03728261962160195
512391,1657.47336166331,0.051743864819342913
512392,1654.292665461438,0.04809000284148847
512393,1651.438457608789,0.044914894001996525
512394,1651.809899759625,0.04050814460292688
512395,1651.6895729983823,0.04226491857956874
512396,1652.5015515556279,0.038745690090427554
512397,1655.3136968277481,0.03971595065298926
512398,1639.6391513195151,0.04168091303559664
512399,1655.3745668324843,0.043496156738543554
512402,1657.294897184025,0.06058567513446407
512403,1647.2533677753597,0.04386578964866347
512405,1644.4779854062178,0.03758636087366395
512407,1660.164061056083,0.05396076055687753
512408,1657.1631257635408,0.04579300431499044
512409,1651.1417138087234,0.055767164352390555
512410,1655.8271166694667,0.05164963426860654
512411,1655.4176585039277,0.05131749957919499
512412,1654.846885152411,0.0429463465368176
512413,1656.6749428462992,0.0425448534603632
512414,1659.091494656972,0.06704986663947941
