NPLV,продувка_res_V,продувка_res_T,продувка_res_O2,продувка_res_N2,продувка_res_H2,продувка_res_CO2,продувка_res_CO,продувка_res_AR,продувка_res_T фурмы 1,продувка_res_T фурмы 2,продувка_res_O2_pressure,продувка_res_delta
510008,228116.28125,788.8888549804688,9.0600004196167,78.13999938964844,0.0,11.210000038146973,0.6100000143051147,0.9800000190734864,0.0,0.0,13.179977416992188,0.5630000000000001
510009,218898.75,849.6527709960938,5.349999904632568,77.19000244140625,0.0,15.479999542236328,0.9800000190734864,0.9900000095367432,0.0,0.0,14.069734573364258,0.5630000000000001
510010,224639.625,843.75,8.699999809265137,79.63999938964844,0.0199999995529651,9.970000267028809,0.6499999761581421,1.0099999904632568,0.0,0.0,13.75868034362793,1.5630000000000002
510011,222569.171875,828.4722290039062,0.0,47.0,0.0599999986588954,23.309999465942383,28.959999084472656,0.6800000071525574,0.0,0.0,13.917824745178224,0.5630000000000001
510012,225770.28125,813.1943969726562,6.050000190734863,79.95999908447266,0.0199999995529651,12.289999961853027,0.699999988079071,0.9800000190734864,0.0,0.0,13.8671875,0.5630000000000001
510013,227608.328125,838.5416259765625,5.849999904632568,79.83999633789062,0.0213245028346184,12.539999961853027,0.7900000214576721,0.959999978542328,0.0,0.0,15.277777671813965,0.5630000000000001
510014,221944.265625,702.0833129882812,0.0,31.1299991607666,0.1400000005960464,18.51000022888184,49.7400016784668,0.4900000095367431,0.0,0.0,15.632234573364258,0.5630000000000001
510015,232936.171875,852.7777709960938,0.0,31.1299991607666,0.1400000005960464,18.51000022888184,49.7400016784668,0.4900000095367431,0.0,0.0,15.747974395751951,0.5630000000000001
510016,229229.78125,822.9166870117188,0.0,62.61000061035156,0.0299999993294477,23.21999931335449,13.350000381469728,0.7900000214576721,0.0,0.0,15.769675254821776,0.5630000000000001
510017,226895.3125,894.0972290039062,0.0,61.869998931884766,0.1199999973177909,25.09000015258789,12.140000343322754,0.7799999713897705,0.0,0.0,15.805845260620115,0.5630000000000001
510018,232139.796875,726.0416259765625,4.5,75.16999816894531,0.0,18.65999984741211,0.7200000286102295,0.9399999976158142,0.0,0.0,15.78414249420166,0.5630000000000001
510019,227811.640625,839.9305419921875,0.0,73.02999877929688,0.0199999995529651,24.1200008392334,1.940000057220459,0.8999999761581421,0.0,0.0,15.743904948234558,0.5630000000000001
510020,231440.734375,852.4305419921875,0.0,68.69000244140625,0.0099999997764825,27.059999465942383,3.3499999046325684,0.8999999761581421,0.0,0.0,15.625,0.5630000000000001
510021,230237.390625,901.7361450195312,0.0,58.43999862670898,0.1099999994039535,27.11000061035156,13.56999969482422,0.7699999809265137,0.0,0.0,15.769675254821776,0.5630000000000001
510022,225872.796875,787.1527709960938,9.149999618530272,79.55999755859375,0.0299999993294477,9.550000190734863,0.7200000286102295,0.9900000095367432,0.0,0.0,15.762442588806152,0.5630000000000001
510023,227404.828125,685.4166870117188,7.230000019073486,79.20999908447266,0.0299999993294477,11.289999961853027,1.2000000476837158,1.0399999618530271,0.0,0.0,15.776909828186035,0.5630000000000001
510024,226589.03125,721.1805419921875,6.849999904632568,79.12000274658203,0.050000000745058,11.600000381469728,1.309999942779541,1.059999942779541,0.0,0.0,15.813077926635742,0.5630000000000001
510026,224536.5625,842.3611450195312,0.0,67.3499984741211,0.1400000005960464,21.40999984741211,10.18000030517578,0.9200000166893004,0.0,0.0,15.747974395751951,0.5630000000000001
